Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
27-Jul-26,TCS,2295.6,2254.3,0.01815474,0.01692306,0.01692944,,2293.8,2258.4,0.01555323,0.01660765,,0.31718886,0.01692944,0.32343654
27-Jul-26,HYUNDAI,1983.9,1952.6,0.01590279,0.01721612,0.01720966,0.32879017,1988.8,1952.6,0.01836962,,0.01781463,0.34034796,,0.34034796
,ALKEM,5613.0,5633.5,-0.00364558,0.01445813,0.01442433,0.27557641,5606.5,5631.5,,0.01448529,0.01445233,0.2761114,0.01445233,0.2761114
27-Jul-26,PNB,111.62,110.38,0.01117129,0.01880201,0.01877169,0.35863266,,110.54,0.01052878,0.01904409,0.01901107,0.36320603,0.01901107,0.36320603
,SBILIFE,1866.7,1858.6,0.00434865,0.01373789,0.01370697,0.26187121,1862.3,1855.9,0.00344253,0.0135881,0.0135564,0.25899471,,
27-Jul-26,OBEROIRLTY,1832.6,1821.2,,0.01855973,0.01851843,0.35379418,1830.0,1820.6,0.00514985,0.0185614,0.01851864,0.35379808,0.01851864,0.35379808
27-Jul-26,  SOLARINDS  ,18627.0,18494.0,0.00716579,0.0213398,0.02129248,0.4067923,18643.0,,0.00715961,0.02140534,0.02135779,0.40804008,0.02135779,0.40804008
27-Jul-26,NAUKRI,1194.3,1165.5,0.02441006,0.02009784,0.02012162,0.38442304,1193.5,1163.6,0.02537152,0.02035078,0.02037886,0.38933752,0.02037886,0.38933752
27-Jul-26,MIDCPNIFTY,14572.9,14436.05,0.00943509,0.01193964,0.01192863,0.22789623,14590.75,,0.00880447,0.01243789,,0.23732814,0.01242232,
27-Jul-26,JINDALSTEL,1065.7,,0.02845779,0.01850057,0.01856362,0.35465741,1065.0,1037.2,0.02645002,0.01830842,,0.35073214,0.01856362,
,PAYTM,1289.4,1283.2,0.00482004,0.02662143,0.02655697,0.5073702,1293.7,1284.7,0.0069811,0.0266925,0.02663027,0.50877058,0.02663027,0.50877058
  27-Jul-26  ,INDUSINDBK,1007.05,996.05,0.01098309,0.02200533,,0.41961932,1007.1,996.65,0.01043054,0.02196259,0.02192013,0.41878353,0.02196388,0.41961932
  27-Jul-26  ,ZYDUSLIFE,1108.2,1108.7,-0.00045108,0.0147693,0.01473229,,1110.4,,0.00090098,0.01485124,,0.28302537,0.01481422,0.28302537
27-Jul-26,PAGEIND,39970.0,40275.0,-0.00760176,0.01555136,0.01552159,0.29653955,39825.0,40235.0,-0.01024241,0.01487847,0.01485893,0.28387938,0.01552159,0.29653955
,,1913.0,1876.7,0.01915778,0.0152597,0.01528171,0.29195675,1911.2,1873.8,0.01976286,0.01556468,0.01558851,0.29781801,0.01558851,0.29781801
27-Jul-26,PETRONET,272.9,274.7,-0.00657417,0.01926541,0.01922291,0.36725319,273.45,274.4,-0.00346811,0.01925716,0.01921057,0.36701739,0.01922291,0.36725319
27-Jul-26,  LICI  ,424.3,421.3,0.00709558,0.01632638,0.01629322,,425.4,,0.00684046,0.01708548,0.01704947,0.32572966,0.01704947,0.32572966
  27-Jul-26  ,  SHREECEM  ,,26740.0,0.00447762,0.01431957,0.01428723,,,,0.00744882,0.01484706,0.01481942,0.28312463,0.01481942,0.28312463
27-Jul-26,UPL,,602.45,0.00999224,0.02073989,0.02069996,0.39547226,,603.25,0.01088132,0.02097458,0.02093615,0.39998458,0.02093615,0.39998458
27-Jul-26,  NAM-INDIA  ,1153.9,1112.5,0.03653777,0.02530937,0.02537779,0.484842,1152.8,1107.7,0.03990797,0.02515703,0.0252523,0.48244458,0.02537779,0.484842
  27-Jul-26  ,  HAVELLS  ,1237.4,1226.9,0.00852174,0.01555738,0.01553007,0.29670149,1237.7,1228.1,0.00778656,0.01584788,0.01581794,0.3022014,0.01581794,0.3022014
27-Jul-26,,3338.2,3458.9,-0.03551888,0.01917115,0.01928731,0.36848353,,3463.8,-0.03831345,0.01907633,0.01922056,0.36720835,0.01928731,0.36848353
27-Jul-26,JSWENERGY,549.7,551.65,-0.00354111,0.02164134,0.02158868,0.41245108,,553.55,-0.00470802,0.02175881,0.02170699,0.41471153,0.02170699,0.41471153
,  JSWENERGY  ,549.7,551.65,-0.00354111,0.02164134,0.02158868,0.41245108,550.95,553.55,-0.00470802,0.02175881,,0.41471153,0.02170699,0.41471153
27-Jul-26,SBICARD,645.0,618.75,0.041549,0.01688135,0.01709347,,644.85,620.25,0.03889511,0.01675028,0.01693314,0.32350722,0.01709347,0.32657028
  27-Jul-26  ,TIINDIA,2849.2,2767.0,0.02927455,0.02229636,0.02233673,0.42674256,2847.2,2772.2,0.02669483,0.02266898,0.02269083,0.43350766,0.02269083,0.43350766
  27-Jul-26  ,,1039.9,1019.3,0.02000844,0.02290424,0.02289058,0.43732393,1040.5,,0.01745076,0.02340306,0.023377,0.44661696,0.023377,0.44661696
27-Jul-26,  HDFCLIFE  ,552.85,555.05,-0.00397148,0.01462707,0.01459312,,553.5,554.85,-0.00243605,0.01435556,0.01432059,0.27359447,0.01459312,0.27880114
,MOTHERSON,148.96,145.55,0.02315814,0.0219549,0.02196113,0.41956687,149.31,145.57,0.02536761,0.02205544,0.02207318,0.42170756,0.02207318,0.42170756
